datetaime,price,market_caps,total_volumes
2024-09-24 23:24:41,5.603,14206838700.30849,277460350.6129506
2024-09-25 00:06:54,5.607,14231444900.797548,280634162.2053848
2024-09-25 01:22:58,5.639,14301008542.871231,295524865.6776669
2024-09-25 02:26:25,5.681,14408778133.732578,309822510.36576694
2024-09-25 03:05:29,5.711,14495216767.942755,332540183.8462103
2024-09-25 04:26:13,5.781,14687411472.294264,372157485.3168573
2024-09-25 05:27:34,5.745,14565030860.219902,391385270.446137
2024-09-25 06:24:24,5.658,14390924632.661053,398027784.52730477
2024-09-25 07:01:30,5.584,14157992338.470732,407718831.3931085
2024-09-25 08:08:07,5.644,14309349296.51949,415254575.18931556
2024-09-25 09:04:09,5.664,14350903163.766827,427770174.45243704
2024-09-25 10:25:36,5.692,14434192236.78582,449063476.0636837
2024-09-25 11:16:44,5.71,14477165795.359621,446310672.0641434
2024-09-25 12:01:48,5.708,14473901977.545622,448795595.49549633
2024-09-25 13:21:27,5.682,14408346035.691551,440283984.19295424
2024-09-25 14:13:49,5.708,14446894276.574917,442922140.9919262
2024-09-25 15:30:25,5.71,14454912111.34266,427433879.8027913
2024-09-25 16:21:57,5.675,14391292796.236153,419689555.9440826
2024-09-25 17:21:12,5.671,14386953425.980127,412450721.78637075
2024-09-25 18:05:52,5.657,14307914648.649189,417874008.2728065
2024-09-25 19:29:23,5.699,14444050280.793535,417503203.2503948
2024-09-25 20:17:25,5.719,14497710305.676004,415180955.94249624
2024-09-25 21:28:57,5.735,14540027431.956573,410415127.0062894
2024-09-25 22:01:29,5.725,14556139702.264032,411740873.8406687
2024-09-25 23:07:58,5.744,14602009371.47101,414377595.58879477
2024-09-26 00:00:10,5.718,14499543608.57935,411541571.99775285
2024-09-26 01:16:36,5.683,14339124951.836329,403032664.13002694
2024-09-26 02:07:58,5.699,14451809559.785942,392621014.4806161
2024-09-26 03:10:46,5.785,14669507022.50709,369729894.6442656
2024-09-26 04:04:47,5.771,14642696025.213123,386546115.71753365
2024-09-26 05:10:53,5.726,14516918667.540247,341665286.90191376
2024-09-26 06:23:41,5.785,14671462543.112593,335662123.7731491
2024-09-26 07:13:02,5.791,14691534419.850248,328233920.79552466
2024-09-26 08:20:27,5.824,14772428747.110518,342644580.7724852
2024-09-26 09:21:20,5.786,14667424667.06173,333680645.95394063
2024-09-26 10:18:44,5.799,14705372922.119404,341990684.7407739
2024-09-26 11:18:42,5.831,14774392354.762762,363763411.95885414
2024-09-26 12:11:48,5.802,14713697858.360224,366893076.0043698
2024-09-26 13:27:55,5.798,14701030515.112644,369551562.3632905
2024-09-26 14:17:03,5.821,14784168379.973948,381396711.6211378
2024-09-26 15:06:38,5.791,14647013453.19823,391994660.4831203
2024-09-26 16:31:30,5.888,14885232015.768946,415966254.11207193
2024-09-26 17:23:38,5.853,14909058547.66807,436802117.04279053
2024-09-26 18:10:36,5.794,14652403692.87721,452731727.26575786
2024-09-26 19:16:55,5.8,14710396020.026915,446034464.30093926
2024-09-26 20:02:48,5.768,14625351408.762962,447814067.4916465
2024-09-26 21:14:27,5.774,14635993600.686249,456265268.03783983
2024-09-26 22:12:35,5.8,14707150394.067726,454293504.81672686
2024-09-26 23:07:37,5.787,14676843036.270159,441854547.731365
2024-09-27 00:30:56,5.797,14688692712.61798,439718198.9474948
2024-09-27 01:07:17,5.813,14752620644.163868,439030545.5800216
2024-09-27 02:09:10,5.763,14592396126.119223,439476843.5479261
2024-09-27 03:21:14,5.742,14562914362.810692,421323172.42738336
2024-09-27 04:00:57,5.792,14683559860.832735,432524089.8159866
2024-09-27 05:06:51,5.808,14723332402.84006,429248738.0499275
2024-09-27 06:00:23,5.804,14731282470.326267,431467074.1485029
2024-09-27 07:07:38,5.834,14795801929.598434,433236092.16140026
2024-09-27 08:02:43,5.803,14717815618.7496,423578995.80470335
